code,name
AIZ.US,Assurant Inc
MNST.US,Monster Beverage Corp
MTCH.US,Match Group Inc
PGR.US,Progressive Corp
CSX.US,CSX Corporation
ADP.US,Automatic Data Processing Inc
ANSS.US,ANSYS Inc
AFL.US,Aflac Incorporated
SO.US,Southern Company
REG.US,Regency Centers Corporation
LMT.US,Lockheed Martin Corporation
BMY.US,Bristol-Myers Squibb Company
EIX.US,Edison International
GWW.US,WW Grainger Inc
FAST.US,Fastenal Company
PHM.US,PulteGroup Inc
INTC.US,Intel Corporation
NEM.US,Newmont Goldcorp Corp
CTAS.US,Cintas Corporation
ALL.US,The Allstate Corporation
CBOE.US,Cboe Global Markets Inc
NDAQ.US,Nasdaq Inc
NRG.US,NRG Energy Inc.
CSGP.US,CoStar Group Inc
GIS.US,General Mills Inc
CNC.US,Centene Corp
MLM.US,Martin Marietta Materials Inc
QCOM.US,Qualcomm Incorporated
ACN.US,Accenture plc
VMC.US,Vulcan Materials Company
MRO.US,Marathon Oil Corporation
AVGO.US,Broadcom Inc
AMT.US,American Tower Corp
PKG.US,Packaging Corp of America
CPB.US,Campbell Soup Company
FMC.US,FMC Corporation
RCL.US,Royal Caribbean Cruises Ltd
WAT.US,Waters Corporation
PPL.US,PPL Corporation
FITB.US,Fifth Third Bancorp
DXCM.US,DexCom Inc
SNPS.US,Synopsys Inc
HON.US,Honeywell International Inc
EW.US,Edwards Lifesciences Corp
APD.US,Air Products and Chemicals Inc
MCD.US,McDonald’s Corporation
TDY.US,Teledyne Technologies Incorporated
NTAP.US,NetApp Inc
KO.US,The Coca-Cola Company
GS.US,Goldman Sachs Group Inc
AJG.US,Arthur J Gallagher & Co
NKE.US,Nike Inc
KMB.US,Kimberly-Clark Corporation
ROL.US,Rollins Inc
HES.US,Hess Corporation
IT.US,Gartner Inc
CTSH.US,Cognizant Technology Solutions Corp Class A
WEC.US,WEC Energy Group Inc
PG.US,Procter & Gamble Company
SNA.US,Snap-On Inc
BIO.US,Bio-Rad Laboratories Inc
IRM.US,Iron Mountain Incorporated
EOG.US,EOG Resources Inc
FCX.US,Freeport-McMoran Copper & Gold Inc
TXN.US,Texas Instruments Incorporated
AON.US,Aon PLC
CHRW.US,CH Robinson Worldwide Inc
FDS.US,FactSet Research Systems Inc
GPN.US,Global Payments Inc
CMG.US,Chipotle Mexican Grill Inc
TEL.US,TE Connectivity Ltd
MSCI.US,MSCI Inc
CF.US,CF Industries Holdings Inc
TJX.US,The TJX Companies Inc
WRB.US,W. R. Berkley Corp
DLTR.US,Dollar Tree Inc
DRI.US,Darden Restaurants Inc
JPM.US,JPMorgan Chase & Co
CB.US,Chubb Ltd
KEY.US,KeyCorp
GD.US,General Dynamics Corporation
TGT.US,Target Corporation
EQR.US,Equity Residential
RJF.US,Raymond James Financial Inc.
BLDR.US,Builders FirstSource Inc
SWKS.US,Skyworks Solutions Inc
MS.US,Morgan Stanley
AAL.US,American Airlines Group
RF.US,Regions Financial Corporation
PANW.US,Palo Alto Networks Inc
AEP.US,American Electric Power Co Inc
CE.US,Celanese Corporation
AMAT.US,Applied Materials Inc
CCI.US,Crown Castle
LULU.US,Lululemon Athletica Inc.
VTR.US,Ventas Inc
PPG.US,PPG Industries Inc
INTU.US,Intuit Inc
IPG.US,Interpublic Group of Companies Inc
A.US,Agilent Technologies Inc
IFF.US,International Flavors & Fragrances Inc
EL.US,Estee Lauder Companies Inc
CNP.US,CenterPoint Energy Inc
AVY.US,Avery Dennison Corp
UNP.US,Union Pacific Corporation
MAS.US,Masco Corporation
PSX.US,Phillips 66
GLW.US,Corning Incorporated
CME.US,CME Group Inc
NCLH.US,Norwegian Cruise Line Holdings Ltd
SBUX.US,Starbucks Corporation
STE.US,STERIS plc
CAG.US,ConAgra Foods Inc
PODD.US,Insulet Corporation
CLX.US,The Clorox Company
UHS.US,Universal Health Services Inc
POOL.US,Pool Corporation
ODFL.US,Old Dominion Freight Line Inc
MRNA.US,Moderna Inc
LUV.US,Southwest Airlines Company
ZBRA.US,Zebra Technologies Corporation
ROST.US,Ross Stores Inc
FFIV.US,F5 Networks Inc
HRL.US,Hormel Foods Corporation
TSCO.US,Tractor Supply Company
COP.US,ConocoPhillips
CSCO.US,Cisco Systems Inc
AEE.US,Ameren Corp
CL.US,Colgate-Palmolive Company
DGX.US,Quest Diagnostics Incorporated
AME.US,Ametek Inc
AOS.US,Smith AO Corporation
BIIB.US,Biogen Inc
BRO.US,Brown & Brown Inc
MSI.US,Motorola Solutions Inc
ESS.US,Essex Property Trust Inc
HIG.US,Hartford Financial Services Group
CDNS.US,Cadence Design Systems Inc
EQIX.US,Equinix Inc
EXR.US,Extra Space Storage Inc
CVX.US,Chevron Corp
HUM.US,Humana Inc
BBY.US,Best Buy Co. Inc
PLD.US,Prologis Inc
OXY.US,Occidental Petroleum Corporation
T.US,AT&T Inc
KLAC.US,KLA-Tencor Corporation
LLY.US,Eli Lilly and Company
APH.US,Amphenol Corporation
PRU.US,Prudential Financial Inc
EMN.US,Eastman Chemical Company
IP.US,International Paper
SPG.US,Simon Property Group Inc
FICO.US,Fair Isaac Corporation
COF.US,Capital One Financial Corporation
CHD.US,Church & Dwight Company Inc
PCAR.US,PACCAR Inc
ORCL.US,Oracle Corporation
FRT.US,Federal Realty Investment Trust
PNW.US,Pinnacle West Capital Corp
RL.US,Ralph Lauren Corp Class A
HCA.US,HCA Holdings Inc
FIS.US,Fidelity National Information Services Inc
ZTS.US,Zoetis Inc
CDW.US,CDW Corp
URI.US,United Rentals Inc
COST.US,Costco Wholesale Corp
AAPL.US,Apple Inc
BA.US,The Boeing Company
DUK.US,Duke Energy Corporation
BDX.US,Becton Dickinson and Company
PNR.US,Pentair PLC
K.US,Kellanova
PAYX.US,Paychex Inc
CAH.US,Cardinal Health Inc
MKC.US,McCormick & Company Incorporated
PEG.US,Public Service Enterprise Group Inc
UDR.US,UDR Inc
MA.US,Mastercard Inc
GOOGL.US,Alphabet Inc Class A
DECK.US,Deckers Outdoor Corporation
HOLX.US,Hologic Inc
LVS.US,Las Vegas Sands Corp
EPAM.US,EPAM Systems Inc
BAC.US,Bank of America Corp
MO.US,Altria Group
KMI.US,Kinder Morgan Inc
FE.US,FirstEnergy Corporation
HII.US,Huntington Ingalls Industries Inc
NSC.US,Norfolk Southern Corporation
LEN.US,Lennar Corporation
MOH.US,Molina Healthcare Inc
ENPH.US,Enphase Energy Inc
ABT.US,Abbott Laboratories
WMB.US,Williams Companies Inc
TRV.US,The Travelers Companies Inc
VLO.US,Valero Energy Corporation
CRM.US,Salesforce.com Inc
SHW.US,Sherwin-Williams Co
WMT.US,Walmart Inc
MMM.US,3M Company
NWS.US,News Corp B
KMX.US,CarMax Inc
AWK.US,American Water Works
DFS.US,Discover Financial Services
ALGN.US,Align Technology Inc
NVDA.US,NVIDIA Corporation
LYB.US,LyondellBasell Industries NV
EBAY.US,eBay Inc
COO.US,The Cooper Companies Inc.
XOM.US,Exxon Mobil Corp
FOX.US,Fox Corp Class B
UAL.US,United Airlines Holdings Inc
DG.US,Dollar General Corporation
ETN.US,Eaton Corporation PLC
ULTA.US,Ulta Beauty Inc
MPWR.US,Monolithic Power Systems Inc
TSLA.US,Tesla Inc
TER.US,Teradyne Inc
LOW.US,Lowe's Companies Inc
PAYC.US,Paycom Soft
ADM.US,Archer-Daniels-Midland Company
NTRS.US,Northern Trust Corporation
EMR.US,Emerson Electric Company
AMZN.US,Amazon.com Inc
ADSK.US,Autodesk Inc
KIM.US,Kimco Realty Corporation
CAT.US,Caterpillar Inc
PM.US,Philip Morris International Inc
PNC.US,PNC Financial Services Group Inc
JNJ.US,Johnson & Johnson
EXPD.US,Expeditors International of Washington Inc
TECH.US,Bio-Techne Corp
C.US,Citigroup Inc
MDLZ.US,Mondelez International Inc
TAP.US,Molson Coors Brewing Co Class B
AXP.US,American Express Company
ALB.US,Albemarle Corp
AVB.US,AvalonBay Communities Inc
MDT.US,Medtronic PLC
MHK.US,Mohawk Industries Inc
EA.US,Electronic Arts Inc
NDSN.US,Nordson Corporation
PTC.US,PTC Inc
EFX.US,Equifax Inc
ADBE.US,Adobe Systems Incorporated
SCHW.US,Charles Schwab Corp
RSG.US,Republic Services Inc
PWR.US,Quanta Services Inc
MRK.US,Merck & Company Inc
VRSK.US,Verisk Analytics Inc
NWSA.US,News Corp A
MSFT.US,Microsoft Corporation
TSN.US,Tyson Foods Inc
EQT.US,EQT Corporation
BSX.US,Boston Scientific Corp
LKQ.US,LKQ Corporation
IEX.US,IDEX Corporation
DE.US,Deere & Company
TRGP.US,Targa Resources Inc
ROK.US,Rockwell Automation Inc
NOC.US,Northrop Grumman Corporation
PFG.US,Principal Financial Group Inc
WDC.US,Western Digital Corporation
IDXX.US,IDEXX Laboratories Inc
AKAM.US,Akamai Technologies Inc
NXPI.US,NXP Semiconductors NV
WFC.US,Wells Fargo & Company
JNPR.US,Juniper Networks Inc
CCL.US,Carnival Corporation
AZO.US,AutoZone Inc
HLT.US,Hilton Worldwide Holdings Inc
SBAC.US,SBA Communications Corp
GOOG.US,Alphabet Inc Class C
FOXA.US,Fox Corp Class A
ECL.US,Ecolab Inc
HST.US,Host Hotels & Resorts Inc
CRL.US,Charles River Laboratories
IBM.US,International Business Machines
ISRG.US,Intuitive Surgical Inc
CPRT.US,Copart Inc
DLR.US,Digital Realty Trust Inc
TDG.US,Transdigm Group Incorporated
AES.US,The AES Corporation
ED.US,Consolidated Edison Inc
ETR.US,Entergy Corporation
L.US,Loews Corp
HAL.US,Halliburton Company
MCK.US,McKesson Corporation
BG.US,Bunge Limited
BAX.US,Baxter International Inc
GRMN.US,Garmin Ltd
TROW.US,T. Rowe Price Group Inc
HSY.US,Hershey Co
DHI.US,DR Horton Inc
BLK.US,BlackRock Inc
F.US,Ford Motor Company
DAL.US,Delta Air Lines Inc
WST.US,West Pharmaceutical Services Inc
LRCX.US,Lam Research Corp
HSIC.US,Henry Schein Inc
WYNN.US,Wynn Resorts Limited
ADI.US,Analog Devices Inc
LNT.US,Alliant Energy Corp
INCY.US,Incyte Corporation
HBAN.US,Huntington Bancshares Incorporated
META.US,Meta Platforms Inc.
AMGN.US,Amgen Inc
AIG.US,American International Group Inc
NI.US,NiSource Inc
DVN.US,Devon Energy Corporation
PEP.US,PepsiCo Inc
OMC.US,Omnicom Group Inc
STLD.US,Steel Dynamics Inc
LDOS.US,Leidos Holdings Inc
TMO.US,Thermo Fisher Scientific Inc
GNRC.US,Generac Holdings Inc
FI.US,Fiserv Inc.
MOS.US,The Mosaic Company
MPC.US,Marathon Petroleum Corp
DIS.US,Walt Disney Company
ATO.US,Atmos Energy Corporation
CMS.US,CMS Energy Corporation
DD.US,Dupont De Nemours Inc
ORLY.US,O’Reilly Automotive Inc
CMCSA.US,Comcast Corp
STZ.US,Constellation Brands Inc Class A
NFLX.US,Netflix Inc
FANG.US,Diamondback Energy Inc
FTNT.US,Fortinet Inc
GM.US,General Motors Company
V.US,Visa Inc. Class A
SWK.US,Stanley Black & Decker Inc
GE.US,GE Aerospace
TRMB.US,Trimble Inc
JBHT.US,JB Hunt Transport Services Inc
MET.US,MetLife Inc
GPC.US,Genuine Parts Co
MAR.US,Marriott International Inc
O.US,Realty Income Corp
UPS.US,United Parcel Service Inc
BK.US,Bank of New York Mellon
OKE.US,ONEOK Inc
MKTX.US,MarketAxess Holdings Inc
VRTX.US,Vertex Pharmaceuticals Inc
CHTR.US,Charter Communications Inc
MU.US,Micron Technology Inc
SMCI.US,Super Micro Computer Inc
DVA.US,DaVita HealthCare Partners Inc
XEL.US,Xcel Energy Inc
LYV.US,Live Nation Entertainment Inc
DTE.US,DTE Energy Company
CPT.US,Camden Property Trust
IVZ.US,Invesco Plc
DPZ.US,Domino’s Pizza Inc
PH.US,Parker-Hannifin Corporation
VRSN.US,VeriSign Inc
GILD.US,Gilead Sciences Inc
JBL.US,Jabil Circuit Inc
APA.US,APA Corporation
PSA.US,Public Storage
JCI.US,Johnson Controls International PLC
EXPE.US,Expedia Group Inc.
SJM.US,JM Smucker Company
MTB.US,M&T Bank Corporation
CVS.US,CVS Health Corp
D.US,Dominion Energy Inc
XYL.US,Xylem Inc
BEN.US,Franklin Resources Inc
ROP.US,Roper Technologies Inc. Common Stock
SYK.US,Stryker Corporation
DHR.US,Danaher Corporation
TXT.US,Textron Inc
ACGL.US,Arch Capital Group Ltd
ITW.US,Illinois Tool Works Inc
JKHY.US,Jack Henry & Associates Inc
NUE.US,Nucor Corp
BWA.US,BorgWarner Inc
VZ.US,Verizon Communications Inc
AMP.US,Ameriprise Financial Inc
MCO.US,Moodys Corporation
YUM.US,Yum! Brands Inc
HAS.US,Hasbro Inc
RMD.US,ResMed Inc
UNH.US,UnitedHealth Group Incorporated
CI.US,Cigna Corp
WY.US,Weyerhaeuser Company
MMC.US,Marsh & McLennan Companies Inc
IR.US,Ingersoll Rand Inc
AMD.US,Advanced Micro Devices Inc
ALLE.US,Allegion PLC
PCG.US,PG&E Corp
ARE.US,Alexandria Real Estate Equities Inc
CZR.US,Caesars Entertainment Corporation
KR.US,Kroger Company
MGM.US,MGM Resorts International
CINF.US,Cincinnati Financial Corporation
CMI.US,Cummins Inc
DOV.US,Dover Corporation
SYY.US,Sysco Corporation
BXP.US,Boston Properties Inc
EG.US,Everest Group Ltd
WAB.US,Westinghouse Air Brake Technologies Corp
TMUS.US,T-Mobile US Inc
USB.US,U.S. Bancorp
WM.US,Waste Management Inc
ICE.US,Intercontinental Exchange Inc
FDX.US,FedEx Corporation
HPQ.US,HP Inc
PFE.US,Pfizer Inc
DOW.US,Dow Inc
SRE.US,Sempra Energy
REGN.US,Regeneron Pharmaceuticals Inc
STX.US,Seagate Technology PLC
TTWO.US,Take-Two Interactive Software Inc
NOW.US,ServiceNow Inc
NVR.US,NVR Inc
STT.US,State Street Corp
TFX.US,Teleflex Incorporated
ABBV.US,AbbVie Inc
BR.US,Broadridge Financial Solutions Inc
FSLR.US,First Solar Inc
NEE.US,Nextera Energy Inc
MCHP.US,Microchip Technology Inc
TYL.US,Tyler Technologies Inc
PYPL.US,PayPal Holdings Inc
KKR.US,KKR & Co LP
BX.US,Blackstone Group Inc
BF-B.US,Brown-Forman Corporation
SYF.US,Synchrony Financial
ANET.US,Arista Networks
CTLT.US,Catalent Inc
ELV.US,Elevance Health Inc
MAA.US,Mid-America Apartment Communities Inc
KEYS.US,Keysight Technologies Inc
BRK-B.US,Berkshire Hathaway Inc
CFG.US,"Citizens Financial Group, Inc."
ETSY.US,Etsy Inc
KHC.US,Kraft Heinz Co
HPE.US,Hewlett Packard Enterprise Co
WBA.US,Walgreens Boots Alliance Inc
ES.US,Eversource Energy
ZBH.US,Zimmer Biomet Holdings Inc
QRVO.US,Qorvo Inc
WRK.US,WestRock Co
HUBB.US,Hubbell Inc
ON.US,ON Semiconductor Corporation
SPGI.US,S&P Global Inc
FTV.US,Fortive Corp
GDDY.US,Godaddy Inc
LW.US,Lamb Weston Holdings Inc
AXON.US,Axon Enterprise Inc.
VST.US,Vistra Energy Corp
INVH.US,Invitation Homes Inc
HD.US,Home Depot Inc
EXC.US,Exelon Corporation
LH.US,Laboratory Corporation of America Holdings
MTD.US,Mettler-Toledo International Inc
SLB.US,Schlumberger NV
CBRE.US,CBRE Group Inc Class A
TPR.US,Tapestry Inc
IQV.US,IQVIA Holdings Inc
APTV.US,Aptiv PLC
VICI.US,VICI Properties Inc
BKNG.US,Booking Holdings Inc
WELL.US,Welltower Inc
DAY.US,Dayforce Inc.
EVRG.US,Evergy Inc. Common Stock
KDP.US,Keurig Dr Pepper Inc
LIN.US,Linde plc Ordinary Shares
UBER.US,Uber Technologies Inc
BKR.US,Baker Hughes Co
GL.US,Globe Life Inc
HWM.US,Howmet Aerospace Inc
DOC.US,Healthpeak Properties Inc
TT.US,Trane Technologies plc
PARA.US,Paramount Global Class B
TFC.US,Truist Financial Corp
CRWD.US,Crowdstrike Holdings Inc
CTVA.US,Corteva Inc
AMCR.US,Amcor PLC
LHX.US,L3Harris Technologies Inc
J.US,Jacobs Solutions Inc.
CARR.US,Carrier Global Corp
OTIS.US,Otis Worldwide Corp
RTX.US,Raytheon Technologies Corp
VTRS.US,Viatris Inc
ABNB.US,Airbnb Inc
BBWI.US,Bath & Body Works Inc.
CTRA.US,Coterra Energy Inc
WTW.US,Willis Towers Watson PLC
CEG.US,Constellation Energy Corp
WBD.US,Warner Bros Discovery Inc
BALL.US,Ball Corporation
GEN.US,Gen Digital Inc.
GEHC.US,GE HealthCare Technologies Inc.
KVUE.US,Kenvue Inc.
RVTY.US,Revvity Inc.
VLTO.US,Veralto Corporation
COR.US,Cencora Inc.
CPAY.US,Corpay Inc
SOLV.US,Solventum Corp.
GEV.US,GE Vernova LLC
